Gender,Age,Waist,TotalHeight,source
1.0,4.0,11.0,32.0,Mendeley
1.0,8.0,8.0,40.0,Mendeley
1.0,16.0,10.0,47.0,Mendeley
1.0,21.0,13.0,50.0,Mendeley
1.0,32.0,12.0,60.0,Mendeley
1.0,14.0,11.0,43.0,Mendeley
1.0,7.0,12.0,38.0,Mendeley
1.0,4.0,10.0,41.0,Mendeley
1.0,29.0,12.0,54.0,Mendeley
1.0,28.0,10.0,46.0,Mendeley
1.0,35.0,14.0,72.0,Mendeley
1.0,30.0,15.0,64.0,Mendeley
2.0,24.0,13.0,57.0,Mendeley
1.0,30.0,32.0,64.0,Mendeley
2.0,3.0,37.0,22.0,Mendeley
1.0,20.0,37.0,46.0,Mendeley
1.0,34.0,41.0,59.0,Mendeley
1.0,35.0,28.0,57.0,Mendeley
1.0,12.0,33.0,57.0,Mendeley
1.0,30.0,26.0,64.0,Mendeley
1.0,15.0,23.0,50.0,Mendeley
1.0,18.0,34.0,80.0,Mendeley
1.0,17.0,25.0,79.0,Mendeley
1.0,10.0,42.0,71.0,Mendeley
1.0,25.0,42.0,60.0,Mendeley
1.0,32.0,36.0,24.0,Mendeley
1.0,34.0,38.0,59.0,Mendeley
1.0,37.0,38.0,68.0,Mendeley
2.0,1.0,13.0,21.0,Mendeley
1.0,1.0,13.0,20.0,Mendeley
2.0,3.0,12.0,22.0,Mendeley
1.0,4.0,14.0,23.0,Mendeley
1.0,3.0,22.0,24.0,Mendeley
2.0,2.0,12.0,19.0,Mendeley
2.0,1.0,12.0,20.0,Mendeley
1.0,4.0,21.0,27.0,Mendeley
2.0,3.0,21.0,24.0,Mendeley
2.0,4.0,23.0,25.0,Mendeley
1.0,5.0,18.0,45.0,Mendeley
2.0,6.0,16.0,43.0,Mendeley
2.0,7.0,16.0,45.0,Mendeley
1.0,8.0,26.0,52.0,Mendeley
2.0,9.0,20.0,55.0,Mendeley
1.0,10.0,23.0,50.0,Mendeley
2.0,11.0,25.0,59.0,Mendeley
2.0,12.0,25.0,60.0,Mendeley
1.0,13.0,24.0,62.0,Mendeley
2.0,19.0,28.0,68.0,Mendeley
1.0,20.0,26.0,67.0,Mendeley
1.0,21.0,25.0,69.0,Mendeley
2.0,22.0,22.0,68.0,Mendeley
2.0,23.0,25.0,69.0,Mendeley
1.0,24.0,24.0,72.0,Mendeley
2.0,25.0,26.0,74.0,Mendeley
1.0,26.0,28.0,85.0,Mendeley
1.0,27.0,32.0,86.0,Mendeley
2.0,20.0,32.0,89.0,Mendeley
1.0,1.0,12.0,19.0,Mendeley
2.0,1.0,13.0,20.0,Mendeley
1.0,4.0,21.0,38.0,Mendeley
2.0,4.0,24.0,44.0,Mendeley
1.0,1.0,22.0,31.0,Mendeley
